points,rewards_this_week,attendance_rate,behavior_referrals,needs_reinforcement
134,10,95.7,3,0
83,4,97.5,0,0
53,5,96.5,1,0
100,10,91.1,1,0
131,6,89,1,1
66,7,92.2,0,0
77,7,97.3,0,0
70,6,97.8,0,0
63,4,89.5,1,1
35,9,91.1,1,1
32,4,92.1,0,1
99,2,93.6,2,1
132,7,89.6,3,1
53,9,89.3,3,1
52,9,91.7,1,0
11,12,95.3,0,0
9,6,90.3,1,1
155,9,94.5,1,0
37,13,99.2,1,0
220,8,89.8,1,1
42,11,94.2,1,0
16,8,99.1,1,0
70,8,93.3,0,0
111,10,92.7,0,0
103,7,99.7,0,0
118,6,93.8,0,0
29,6,99.4,2,1
152,6,96.7,2,1
158,8,93.6,1,0
163,3,96.9,0,0
78,11,96.3,4,0
50,7,99.1,0,0
46,7,92.8,1,0
15,4,95.2,0,0
43,10,94.8,0,0
5,9,97.8,1,0
13,5,90.9,0,1
78,3,99.1,2,1
54,7,96.9,1,0
76,12,89.7,0,0
105,6,99.8,1,0
86,4,100,0,0
81,11,99,1,0
61,5,100,0,0
36,6,95.3,1,0
22,4,88.4,2,1
44,1,87.6,1,1
62,5,96,1,0
68,3,92.6,0,1
119,8,91.3,3,0
58,8,94.7,2,0
95,8,97.5,2,0
18,4,89.2,2,1
79,6,93.2,1,0
75,8,100,3,0
152,3,90.7,1,1
54,8,98.5,2,0
52,6,93.1,1,0
106,8,97.2,3,0
24,7,99.4,2,0
77,9,98,3,0
23,4,98.6,3,1
197,9,90.4,1,0
47,7,99.5,1,0
